directors,numberall,runtimeminutes,averagerating,numvotes
nm0002089,44,103.4,5.55,134743
nm0002094,4,96.3,6.45,179
nm0002105,1,100.0,4.00,28
nm0002116,3,78.0,5.33,772
nm0002118,4,71.3,6.98,300
nm0002120,27,104.2,6.59,1379804
nm0002124,1,84.0,5.60,111
nm0002131,3,99.0,5.80,1280
nm0002132,9,92.6,5.99,517983
nm0002134,7,89.9,6.43,7682
nm0002137,33,104.1,6.19,190009
nm0002138,1,92.0,5.40,129
nm0002140,19,115.2,6.63,110199
nm0002146,2,71.0,6.35,300
nm0002153,13,102.3,6.13,14088
nm0002154,2,,5.20,18
nm0002156,10,92.4,7.90,7706
nm0002157,26,93.3,6.72,869
nm0002158,5,89.0,5.22,354
nm0002159,21,97.4,6.99,147404
nm0002160,3,185.7,8.53,64757
nm0002164,6,81.0,5.92,1127
nm0002165,46,97.4,6.34,5503
nm0002166,1,104.0,6.40,873
nm0002167,13,114.5,6.75,12815
nm0002168,1,105.0,7.00,44
nm0002171,5,96.0,5.54,12503
nm0002172,11,162.7,6.23,15812
nm0002173,2,82.5,7.50,2434
nm0002174,7,98.3,6.53,2530
nm0002175,41,101.9,6.30,113039
nm0002177,15,62.4,5.92,2105
nm0002178,17,118.2,5.48,10094
nm0002179,74,66.1,6.36,10601
nm0002180,11,100.5,6.31,4619
nm0002181,1,98.0,3.50,28
nm0002184,3,108.0,4.97,42706
nm0002188,20,111.6,6.41,10233
nm0002189,32,92.9,5.63,9930
nm0002190,38,93.6,6.80,37391
nm0002191,8,116.5,7.25,256885
nm0002192,9,86.1,5.66,2090
nm0002193,37,104.6,6.36,11205
nm0002194,40,100.2,6.46,19821
nm0002195,6,94.3,5.60,6339
nm0002196,22,92.1,5.90,24572
nm0002198,1,83.0,7.00,103
nm0002199,13,128.3,6.88,53857
nm0002206,6,72.8,7.42,2465
nm0002207,11,103.4,5.86,52320
nm0002209,3,65.7,6.57,75
nm0002216,21,95.5,6.51,32399
nm0002218,18,98.9,6.77,27594
nm0002222,1,99.0,5.30,55
nm0002224,7,89.1,7.27,9444
nm0002225,4,92.3,5.28,4397
nm0002230,1,76.0,4.40,68
nm0002233,12,106.4,6.83,21336
nm0002239,3,91.7,5.90,6611
nm0002240,7,89.4,5.23,38386
nm0002252,2,91.5,5.35,7789
nm0002253,1,88.0,7.30,18705
nm0002254,16,119.4,7.16,16016
nm0002261,1,,6.00,8
nm0002271,17,90.4,6.22,12643
nm0002278,1,100.0,6.20,56
nm0002306,4,96.0,6.18,1131
nm0002312,1,74.0,6.10,261
nm0002337,12,96.1,4.48,90831
nm0002338,7,113.4,7.14,67986
nm0002339,2,119.5,6.80,169561
nm0002340,12,90.2,6.18,173247
nm0002352,1,60.0,7.70,46
nm0002356,2,88.0,5.60,287
nm0002360,1,65.0,7.60,17
nm0002364,1,,6.10,29
nm0002365,1,,6.10,29
nm0002368,1,102.0,6.20,569
nm0002371,1,99.0,5.10,77
nm0002376,4,99.8,6.18,2225
nm0002382,2,110.0,6.25,1371
nm0002384,3,88.0,6.87,1307
nm0002396,13,82.8,5.12,453
nm0002401,1,95.0,5.40,16
nm0002409,2,,6.15,18
nm0002411,13,103.3,6.87,1377
nm0002413,2,86.0,5.15,765
nm0002416,1,,7.10,122
nm0002417,1,97.0,5.90,509
nm0002418,2,200.0,8.95,63
nm0002428,1,88.0,3.50,167
nm0002429,1,90.0,6.90,23
nm0002433,4,106.3,6.65,1464
nm0002438,1,104.0,7.00,122
nm0002459,11,93.2,6.05,6492
nm0002463,3,86.5,5.43,318
nm0002465,2,81.0,5.30,207
nm0002466,1,88.0,6.90,44
nm0002475,1,,6.60,18
nm0002478,2,90.0,5.55,996
nm0002485,1,,7.80,20
nm0002489,27,100.2,6.30,1036
nm0002491,4,84.0,4.58,211
nm0002492,2,102.0,3.60,80
nm0002499,5,89.4,6.08,176
